"entrez_id"	"ensembl_gene_id"
1	"ENSG00000121410"
29974	"ENSG00000148584"
2	"ENSG00000175899"
144568	"ENSG00000166535"
127550	"ENSG00000184389"
53947	"ENSG00000128274"
51146	"ENSG00000118017"
8086	"ENSG00000094914"
65985	"ENSG00000081760"
13	"ENSG00000114771"
344752	"ENSG00000197953"
126767	"ENSG00000188984"
343066	"ENSG00000204518"
51166	"ENSG00000109576"
195827	"ENSG00000158122"
79719	"ENSG00000103591"
22848	"ENSG00000115977"
28971	"ENSG00000087884"
14	"ENSG00000127837"
15	"ENSG00000129673"
25980	"ENSG00000131043"
441376	"ENSG00000205002"
16	"ENSG00000090861"
57505	"ENSG00000124608"
80755	"ENSG00000266967"
132949	"ENSG00000157426"
60496	"ENSG00000149313"
10157	"ENSG00000008311"
26574	"ENSG00000275700"
9625	"ENSG00000181409"
18	"ENSG00000183044"
19	"ENSG00000165029"
20	"ENSG00000107331"
21	"ENSG00000167972"
24	"ENSG00000198691"
23461	"ENSG00000154265"
23460	"ENSG00000154262"
10347	"ENSG00000064687"
10351	"ENSG00000141338"
10350	"ENSG00000154258"
10349	"ENSG00000154263"
26154	"ENSG00000144452"
154664	"ENSG00000179869"
5243	"ENSG00000085563"
5244	"ENSG00000005471"
340273	"ENSG00000004846"
10058	"ENSG00000115657"
22	"ENSG00000131269"
11194	"ENSG00000197150"
23457	"ENSG00000150967"
23456	"ENSG00000135776"
8647	"ENSG00000073734"
4363	"ENSG00000103222"
1244	"ENSG00000023839"
8714	"ENSG00000108846"
10257	"ENSG00000125257"
10057	"ENSG00000114770"
368	"ENSG00000091262"
6833	"ENSG00000006071"
10060	"ENSG00000069431"
89845	"ENSG00000124574"
85320	"ENSG00000121270"
94160	"ENSG00000140798"
215	"ENSG00000101986"
225	"ENSG00000173208"
5825	"ENSG00000117528"
5826	"ENSG00000119688"
6059	"ENSG00000164163"
23	"ENSG00000204574"
10061	"ENSG00000033050"
55324	"ENSG00000161204"
9619	"ENSG00000160179"
9429	"ENSG00000118777"
64137	"ENSG00000172350"
64240	"ENSG00000138075"
64241	"ENSG00000143921"
84696	"ENSG00000143994"
11057	"ENSG00000140526"
171586	"ENSG00000158201"
63874	"ENSG00000100439"
51099	"ENSG00000011198"
57406	"ENSG00000163686"
79575	"ENSG00000127220"
55347	"ENSG00000144827"
83451	"ENSG00000106077"
26090	"ENSG00000100997"
145447	"ENSG00000131969"
84945	"ENSG00000139826"
25864	"ENSG00000248487"
84836	"ENSG00000114779"
116236	"ENSG00000168792"
7920	"ENSG00000204427"
140701	"ENSG00000183260"
81926	"ENSG00000129968"
51104	"ENSG00000107362"
58489	"ENSG00000136379"
80167	"ENSG00000164074"
10006	"ENSG00000136754"
10152	"ENSG00000138443"
51225	"ENSG00000108798"
25890	"ENSG00000154175"
25	"ENSG00000097007"
27	"ENSG00000143322"
3983	"ENSG00000099204"
84448	"ENSG00000163995"
22885	"ENSG00000173210"
28	"ENSG00000175164"
29	"ENSG00000159842"
137735	"ENSG00000174429"
58527	"ENSG00000146386"
29777	"ENSG00000146109"
80325	"ENSG00000114626"
25841	"ENSG00000166016"
30	"ENSG00000060971"
10449	"ENSG00000167315"
31	"ENSG00000278540"
32	"ENSG00000076555"
27034	"ENSG00000151498"
28976	"ENSG00000177646"
80724	"ENSG00000111271"
84129	"ENSG00000240303"
33	"ENSG00000115361"
34	"ENSG00000117054"
35	"ENSG00000122971"
36	"ENSG00000196177"
37	"ENSG00000072778"
176	"ENSG00000157766"
9744	"ENSG00000072818"
23527	"ENSG00000114331"
116983	"ENSG00000131584"
38	"ENSG00000075239"
39	"ENSG00000120437"
64746	"ENSG00000182827"
79777	"ENSG00000181513"
91452	"ENSG00000107897"
84320	"ENSG00000230124"
414149	"ENSG00000176244"
84680	"ENSG00000110455"
390110	"ENSG00000205126"
65057	"ENSG00000102977"
1636	"ENSG00000159640"
59272	"ENSG00000130234"
125981	"ENSG00000167769"
340485	"ENSG00000177076"
55331	"ENSG00000078124"
43	"ENSG00000087085"
22985	"ENSG00000100813"
2532	"ENSG00000213088"
1238	"ENSG00000144648"
57007	"ENSG00000144476"
51554	"ENSG00000129048"
47	"ENSG00000131473"
130013	"ENSG00000153086"
48	"ENSG00000122729"
50	"ENSG00000100412"
730249	"ENSG00000102794"
641371	"ENSG00000184227"
10965	"ENSG00000119673"
122970	"ENSG00000177465"
641372	"ENSG00000205669"
11332	"ENSG00000097021"
10005	"ENSG00000101473"
23597	"ENSG00000123130"
26027	"ENSG00000162390"
134526	"ENSG00000172497"
55856	"ENSG00000112304"
51	"ENSG00000161533"
8309	"ENSG00000168306"
8310	"ENSG00000087008"
55289	"ENSG00000153093"
52	"ENSG00000143727"
53	"ENSG00000134575"
54	"ENSG00000102575"
