microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-miR-27b	7.29e-19	3.3e-13	negative	MANEAL	149175
hsa-miR-27b	7.29e-19	1.18e-12	negative	NUP210	23225
hsa-miR-27b	7.29e-19	7.8e-11	negative	HNF4G	3174
hsa-miR-27b	7.29e-19	2.21e-09	negative	FAM84B	157638
hsa-miR-27b	7.29e-19	5.06e-08	negative	WNT3A	89780
hsa-miR-27b	7.29e-19	6.26e-08	negative	DEPDC1B	55789
hsa-miR-27b	7.29e-19	1.72e-07	negative	NEUROD4	58158
hsa-miR-27b	7.29e-19	1.73e-07	negative	ELFN2	114794
hsa-miR-27b	7.29e-19	1.95e-07	negative	GDF6	392255
hsa-miR-27b	7.29e-19	2.64e-07	negative	RUNDC3A	10900
hsa-miR-27b	7.29e-19	5.56e-07	negative	CA10	56934
hsa-miR-27b	7.29e-19	5.93e-07	negative	DISC1	27185
hsa-miR-27b	7.29e-19	7.1e-07	negative	SLC35F3	148641
hsa-miR-27b	7.29e-19	7.81e-07	negative	FAM222A	84915
hsa-miR-27b	7.29e-19	1.07e-06	negative	IGLON5	402665
hsa-miR-27b	7.29e-19	1.71e-06	negative	PTPRT	11122
hsa-miR-27b	7.29e-19	2.03e-06	negative	MOSPD3	64598
hsa-miR-27b	7.29e-19	2.23e-06	negative	SLITRK1	114798
hsa-miR-27b	7.29e-19	2.59e-06	negative	UNKL	64718
hsa-miR-27b	7.29e-19	2.94e-06	negative	RGS6	9628
hsa-miR-27b	7.29e-19	3.22e-06	negative	EN2	2020
hsa-miR-27b	7.29e-19	4.12e-06	negative	ABCB9	23457
hsa-miR-27b	7.29e-19	4.34e-06	negative	CACNA1A	773
hsa-miR-27b	7.29e-19	6.35e-06	negative	PRMT8	56341
hsa-miR-27b	7.29e-19	8.53e-06	negative	CLPP	8192
hsa-miR-27b	7.29e-19	8.66e-06	negative	SOX11	6664
hsa-miR-27b	7.29e-19	9.77e-06	negative	CHST1	8534
hsa-miR-27b	7.29e-19	1.04e-05	negative	CCDC71	64925
hsa-miR-27b	7.29e-19	1.86e-05	negative	NR2F6	2063
hsa-miR-27b	7.29e-19	2.56e-05	negative	FCRL1	115350
hsa-miR-27b	7.29e-19	2.74e-05	negative	PPIF	10105
hsa-miR-27b	7.29e-19	3.28e-05	negative	CCM2	83605
hsa-miR-27b	7.29e-19	3.39e-05	negative	PALM2	114299
hsa-miR-27b	7.29e-19	3.47e-05	negative	HORMAD2	150280
hsa-miR-27b	7.29e-19	3.48e-05	negative	DLGAP3	58512
hsa-miR-27b	7.29e-19	4.5e-05	negative	CCDC28B	79140
hsa-miR-27b	7.29e-19	4.79e-05	negative	SH2D3C	10044
hsa-miR-27b	7.29e-19	5.51e-05	negative	OTX2	5015
hsa-miR-27b	7.29e-19	6.11e-05	negative	HAPLN1	1404
hsa-miR-27b	7.29e-19	6.51e-05	negative	CBFA2T3	863
hsa-miR-27b	7.29e-19	6.93e-05	negative	SHANK3	85358
hsa-miR-27b	7.29e-19	7.27e-05	negative	KCTD4	386618
hsa-miR-27b	7.29e-19	7.54e-05	negative	DOT1L	84444
hsa-miR-27b	7.29e-19	8.47e-05	negative	NEURL4	84461
hsa-miR-27b	7.29e-19	8.67e-05	negative	SPATA2	9825
hsa-miR-27b	7.29e-19	0.000114	negative	FGF14	2259
hsa-miR-27b	7.29e-19	0.000132	negative	RUVBL2	10856
hsa-miR-27b	7.29e-19	0.000167	negative	GRIN2D	2906
hsa-miR-27b	7.29e-19	0.000178	negative	VIP	7432
hsa-miR-27b	7.29e-19	0.000206	negative	FAM193B	54540
hsa-miR-27b	7.29e-19	0.000208	negative	PROSAPIP1	9762
hsa-miR-27b	7.29e-19	0.000234	negative	PKIA	5569
hsa-miR-27b	7.29e-19	0.000252	negative	RNF182	221687
hsa-miR-27b	7.29e-19	0.000303	negative	TMUB1	83590
hsa-miR-27b	7.29e-19	0.000314	negative	C10orf114	399726
hsa-miR-27b	7.29e-19	0.000326	negative	LIN28B	389421
hsa-miR-27b	7.29e-19	0.000346	negative	B4GALT3	8703
hsa-miR-27b	7.29e-19	0.000358	negative	MFSD2A	84879
hsa-miR-27b	7.29e-19	0.000364	negative	ST6GALNAC3	256435
hsa-miR-27b	7.29e-19	0.000369	negative	FNDC4	64838
hsa-miR-27b	7.29e-19	0.00039	negative	CECR6	27439
hsa-miR-27b	7.29e-19	0.000395	negative	DCX	1641
hsa-miR-27b	7.29e-19	0.000452	negative	SLC9A4	389015
hsa-miR-27b	7.29e-19	0.000508	negative	MEPCE	56257
hsa-miR-27b	7.29e-19	0.000555	negative	CNR1	1268
hsa-miR-27b	7.29e-19	0.000575	negative	FOXP4	116113
hsa-miR-27b	7.29e-19	0.000657	negative	PPFIA2	8499
hsa-miR-27b	7.29e-19	0.000673	negative	MESDC1	59274
hsa-miR-27b	7.29e-19	0.000819	negative	EDAR	10913
hsa-miR-27b	7.29e-19	0.000835	negative	AQP11	282679
hsa-miR-27b	7.29e-19	0.000987	negative	MAPK8IP3	23162
hsa-miR-27b	7.29e-19	0.00107	negative	NETO1	81832
hsa-miR-27b	7.29e-19	0.00125	negative	FRS3	10817
hsa-miR-27b	7.29e-19	0.00127	negative	ADAMTS6	11174
hsa-miR-27b	7.29e-19	0.00167	negative	SEMA7A	8482
hsa-miR-27b	7.29e-19	0.00187	negative	HOXB8	3218
hsa-miR-27b	7.29e-19	0.00194	negative	MDFI	4188
hsa-miR-27b	7.29e-19	0.00232	negative	PDE6D	5147
hsa-miR-27b	7.29e-19	0.00232	negative	CDH5	1003
hsa-miR-27b	7.29e-19	0.00276	negative	LRRTM2	26045
hsa-miR-27b	7.29e-19	0.0039	negative	NR5A2	2494
hsa-miR-27b	7.29e-19	0.00394	negative	STMN2	11075
hsa-miR-27b	7.29e-19	0.00397	negative	RAB20	55647
hsa-miR-27b	7.29e-19	0.0041	negative	VEGFC	7424
hsa-miR-27b	7.29e-19	0.00556	negative	NLN	57486
hsa-miR-27b	7.29e-19	0.00566	negative	PLCH1	23007
hsa-miR-27b	7.29e-19	1.97e-29	positive	ACTA2	59
hsa-miR-27b	7.29e-19	5.12e-25	positive	MEIS2	4212
hsa-miR-27b	7.29e-19	1.58e-20	positive	BAG2	9532
hsa-miR-27b	7.29e-19	5.39e-19	positive	NREP	9315
hsa-miR-27b	7.29e-19	8.55e-19	positive	TEAD1	7003
hsa-miR-27b	7.29e-19	9.41e-19	positive	ZFP36L1	677
hsa-miR-27b	7.29e-19	6.96e-15	positive	LPAR6	10161
hsa-miR-27b	7.29e-19	7.95e-15	positive	C20orf194	25943
hsa-miR-27b	7.29e-19	1.03e-13	positive	NFE2L2	4780
