Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
120114	FAT3	3.39e-30	1.66e-18	negative	hsa-miR-141
120114	FAT3	3.39e-30	1.18e-15	negative	hsa-miR-200c
120114	FAT3	3.39e-30	1.27e-15	negative	hsa-miR-182
120114	FAT3	3.39e-30	3.13e-09	negative	hsa-miR-19a
120114	FAT3	3.39e-30	1.64e-08	negative	hsa-miR-130b
120114	FAT3	3.39e-30	2.55e-08	negative	hsa-miR-19b
120114	FAT3	3.39e-30	2.04e-20	positive	hsa-miR-139-5p
59	ACTA2	5.1e-28	1.97e-29	positive	hsa-miR-27b
59	ACTA2	5.1e-28	2.55e-16	positive	hsa-miR-27a
221895	JAZF1	6.64e-28	3.57e-27	negative	hsa-miR-182
221895	JAZF1	6.64e-28	2.98e-20	negative	hsa-miR-106b
221895	JAZF1	6.64e-28	3.71e-20	negative	hsa-miR-96
221895	JAZF1	6.64e-28	8.78e-06	negative	hsa-miR-20b
221895	JAZF1	6.64e-28	3.18e-21	positive	hsa-miR-133a
221895	JAZF1	6.64e-28	4.8e-16	positive	hsa-miR-133b
221895	JAZF1	6.64e-28	1.51e-09	positive	hsa-miR-31
3778	KCNMA1	8.18e-24	2.54e-14	negative	hsa-miR-93
3778	KCNMA1	8.18e-24	1.65e-09	negative	hsa-miR-548c-3p
3778	KCNMA1	8.18e-24	1.88e-09	negative	hsa-miR-106b
3778	KCNMA1	8.18e-24	2.9e-05	negative	hsa-miR-33a
3778	KCNMA1	8.18e-24	0.00248	negative	hsa-miR-760
3778	KCNMA1	8.18e-24	0.00507	negative	hsa-miR-17
3778	KCNMA1	8.18e-24	1.94e-23	positive	hsa-miR-133a
3778	KCNMA1	8.18e-24	9.51e-18	positive	hsa-miR-133b
3778	KCNMA1	8.18e-24	5.48e-12	positive	hsa-miR-505
3778	KCNMA1	8.18e-24	7.54e-06	positive	hsa-miR-29a
3778	KCNMA1	8.18e-24	1.1e-05	positive	hsa-miR-181c
3778	KCNMA1	8.18e-24	0.000595	positive	hsa-miR-135a
29127	RACGAP1	2.6e-23	5.24e-15	negative	hsa-miR-130a
29127	RACGAP1	2.6e-23	1.77e-16	positive	hsa-miR-130b
27303	RBMS3	3.1e-23	6.86e-14	negative	hsa-miR-548c-3p
27303	RBMS3	3.1e-23	9.43e-08	negative	hsa-miR-7
27303	RBMS3	3.1e-23	1.01e-10	positive	hsa-miR-505
27303	RBMS3	3.1e-23	3.62e-09	positive	hsa-miR-338-3p
27303	RBMS3	3.1e-23	2.27e-05	positive	hsa-miR-378
23603	CORO1C	4.69e-22	3.09e-17	negative	hsa-miR-182
23603	CORO1C	4.69e-22	4.46e-15	negative	hsa-miR-200c
23603	CORO1C	4.69e-22	1.12e-10	negative	hsa-miR-512-3p
23603	CORO1C	4.69e-22	8.53e-18	positive	hsa-miR-204
23603	CORO1C	4.69e-22	2.81e-14	positive	hsa-miR-1
23603	CORO1C	4.69e-22	3.04e-08	positive	hsa-miR-34a
23603	CORO1C	4.69e-22	0.00187	positive	hsa-miR-128
4131	MAP1B	5.26e-22	1.81e-19	negative	hsa-miR-182
4131	MAP1B	5.26e-22	1.72e-09	negative	hsa-miR-32
4131	MAP1B	5.26e-22	1.83e-15	positive	hsa-miR-152
4131	MAP1B	5.26e-22	7.65e-15	positive	hsa-miR-143
4131	MAP1B	5.26e-22	1.41e-10	positive	hsa-miR-181c
4131	MAP1B	5.26e-22	3.83e-09	positive	hsa-miR-224
131566	DCBLD2	5.36e-22	7.68e-09	negative	hsa-miR-486-5p
131566	DCBLD2	5.36e-22	3.82e-08	negative	hsa-miR-494
131566	DCBLD2	5.36e-22	7.47e-07	negative	hsa-miR-200c
131566	DCBLD2	5.36e-22	2.5e-19	positive	hsa-miR-31
131566	DCBLD2	5.36e-22	6.58e-18	positive	hsa-miR-24
131566	DCBLD2	5.36e-22	2.78e-16	positive	hsa-miR-23b
131566	DCBLD2	5.36e-22	1.08e-12	positive	hsa-miR-23a
131566	DCBLD2	5.36e-22	7.1e-09	positive	hsa-miR-218
131566	DCBLD2	5.36e-22	0.0035	positive	hsa-miR-454
89797	NAV2	5.6e-21	1.14e-21	negative	hsa-miR-93
89797	NAV2	5.6e-21	5.07e-18	negative	hsa-miR-153
89797	NAV2	5.6e-21	1.71e-11	negative	hsa-miR-17
89797	NAV2	5.6e-21	1.71e-09	negative	hsa-miR-106a
89797	NAV2	5.6e-21	5.25e-09	negative	hsa-miR-20a
89797	NAV2	5.6e-21	1.29e-05	negative	hsa-miR-20b
89797	NAV2	5.6e-21	0.00525	negative	hsa-miR-494
89797	NAV2	5.6e-21	4.24e-10	positive	hsa-miR-130a
89797	NAV2	5.6e-21	1.95e-05	positive	hsa-miR-29a
89797	NAV2	5.6e-21	8.63e-05	positive	hsa-miR-499-5p
25943	C20orf194	6.69e-21	1.74e-07	negative	hsa-miR-25
25943	C20orf194	6.69e-21	4.84e-06	negative	hsa-miR-32
25943	C20orf194	6.69e-21	3.36e-05	negative	hsa-miR-96
25943	C20orf194	6.69e-21	4.56e-05	negative	hsa-miR-125a-3p
25943	C20orf194	6.69e-21	2.04e-18	positive	hsa-miR-204
25943	C20orf194	6.69e-21	7.95e-15	positive	hsa-miR-27b
25943	C20orf194	6.69e-21	1.07e-10	positive	hsa-miR-139-5p
25943	C20orf194	6.69e-21	3.34e-06	positive	hsa-miR-365
59271	FAM176C	7.6e-21	8.84e-21	positive	hsa-miR-205
59271	FAM176C	7.6e-21	9.58e-06	positive	hsa-miR-376a
29951	PDZRN4	9.33e-20	0.00775	negative	hsa-miR-219-5p
29951	PDZRN4	9.33e-20	1.12e-19	positive	hsa-miR-222
253827	MSRB3	9.89e-20	1.93e-22	negative	hsa-miR-25
253827	MSRB3	9.89e-20	7.5e-09	negative	hsa-miR-92a
253827	MSRB3	9.89e-20	2.64e-11	positive	hsa-miR-452
253827	MSRB3	9.89e-20	8.22e-11	positive	hsa-miR-125b
253827	MSRB3	9.89e-20	1.64e-05	positive	hsa-miR-125a-5p
3236	HOXD10	1.09e-19	1.52e-19	negative	hsa-miR-25
3236	HOXD10	1.09e-19	3.24e-09	negative	hsa-miR-32
3236	HOXD10	1.09e-19	8.97e-20	positive	hsa-miR-224
3236	HOXD10	1.09e-19	2.08e-10	positive	hsa-miR-23b
3236	HOXD10	1.09e-19	7.98e-09	positive	hsa-miR-23a
285671	RNF180	1.36e-19	2.49e-18	negative	hsa-miR-130b
285671	RNF180	1.36e-19	2.39e-10	negative	hsa-miR-33b
285671	RNF180	1.36e-19	0.00563	negative	hsa-miR-32
285671	RNF180	1.36e-19	0.00937	negative	hsa-miR-33a
285671	RNF180	1.36e-19	4.23e-19	positive	hsa-miR-130a
285671	RNF180	1.36e-19	0.00192	positive	hsa-miR-363
53616	ADAM22	3.03e-19	3.19e-09	negative	hsa-miR-548c-3p
53616	ADAM22	3.03e-19	1.01e-08	negative	hsa-miR-30d
53616	ADAM22	3.03e-19	1.61e-18	positive	hsa-miR-221
53616	ADAM22	3.03e-19	4.54e-12	positive	hsa-miR-222
53616	ADAM22	3.03e-19	1.48e-06	positive	hsa-miR-452
53616	ADAM22	3.03e-19	1.79e-06	positive	hsa-miR-30c
5156	PDGFRA	3.75e-19	1.11e-15	negative	hsa-miR-93
5156	PDGFRA	3.75e-19	7.27e-11	negative	hsa-miR-106b
5156	PDGFRA	3.75e-19	8.73e-08	negative	hsa-miR-33b
5156	PDGFRA	3.75e-19	9.58e-06	negative	hsa-miR-33a
5156	PDGFRA	3.75e-19	0.00144	negative	hsa-miR-197
5156	PDGFRA	3.75e-19	1.51e-06	positive	hsa-miR-181c
