microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-miR-27b	1.13e-26	7.1e-07	negative	SLC35F3	148641
hsa-miR-27b	1.13e-26	2.94e-06	negative	RGS6	9628
hsa-miR-27b	1.13e-26	4.34e-06	negative	CACNA1A	773
hsa-miR-27b	1.13e-26	8.53e-06	negative	CLPP	8192
hsa-miR-27b	1.13e-26	9.77e-06	negative	CHST1	8534
hsa-miR-27b	1.13e-26	1.86e-05	negative	NR2F6	2063
hsa-miR-27b	1.13e-26	3.28e-05	negative	CCM2	83605
hsa-miR-27b	1.13e-26	3.48e-05	negative	DLGAP3	58512
hsa-miR-27b	1.13e-26	8.47e-05	negative	NEURL4	84461
hsa-miR-27b	1.13e-26	0.000178	negative	VIP	7432
hsa-miR-27b	1.13e-26	0.000303	negative	TMUB1	83590
hsa-miR-27b	1.13e-26	0.000346	negative	B4GALT3	8703
hsa-miR-27b	1.13e-26	0.000364	negative	ST6GALNAC3	256435
hsa-miR-27b	1.13e-26	0.000508	negative	MEPCE	56257
hsa-miR-27b	1.13e-26	0.000673	negative	MESDC1	59274
hsa-miR-27b	1.13e-26	0.000835	negative	AQP11	282679
hsa-miR-27b	1.13e-26	0.00107	negative	NETO1	81832
hsa-miR-27b	1.13e-26	0.00187	negative	HOXB8	3218
hsa-miR-27b	1.13e-26	0.0041	negative	VEGFC	7424
hsa-miR-27b	1.13e-26	0.00566	negative	PLCH1	23007
hsa-miR-27b	1.13e-26	1.97e-29	positive	ACTA2	59
hsa-miR-27b	1.13e-26	5.39e-19	positive	NREP	9315
hsa-miR-27b	1.13e-26	6.96e-15	positive	LPAR6	10161
hsa-miR-27b	1.13e-26	2.75e-09	positive	STIM2	57620
hsa-miR-27b	1.13e-26	6.66e-09	positive	AFF4	27125
hsa-miR-27b	1.13e-26	8.21e-09	positive	PDE3A	5139
hsa-miR-27b	1.13e-26	1.54e-07	positive	FAM184A	79632
hsa-miR-27b	1.13e-26	3.16e-07	positive	MAN2A1	4124
hsa-miR-27b	1.13e-26	3.88e-07	positive	ID3	3399
hsa-miR-27b	1.13e-26	1.98e-06	positive	USP31	57478
hsa-miR-27b	1.13e-26	2.45e-06	positive	JMJD1C	221037
hsa-miR-27b	1.13e-26	3.07e-06	positive	ATXN10	25814
hsa-miR-27b	1.13e-26	3.87e-05	positive	FGD6	55785
hsa-miR-27b	1.13e-26	0.000519	positive	CASC3	22794
hsa-miR-27b	1.13e-26	0.00229	positive	ITSN2	50618
hsa-miR-224	6.18e-18	5.38e-11	negative	KLK15	55554
hsa-miR-224	6.18e-18	0.0011	negative	CCDC28B	79140
hsa-miR-224	6.18e-18	0.00202	negative	FGB	2244
hsa-miR-224	6.18e-18	8.97e-20	positive	HOXD10	3236
hsa-miR-224	6.18e-18	7.17e-15	positive	PDE8A	5151
hsa-miR-224	6.18e-18	2.7e-13	positive	PFKFB3	5209
hsa-miR-224	6.18e-18	5.66e-08	positive	QKI	9444
hsa-miR-224	6.18e-18	3e-05	positive	EPC2	26122
hsa-miR-224	6.18e-18	0.000225	positive	GGNBP2	79893
hsa-miR-224	6.18e-18	0.000341	positive	SH3KBP1	30011
hsa-miR-224	6.18e-18	0.000353	positive	ARHGAP21	57584
hsa-miR-224	6.18e-18	0.000354	positive	DPYSL2	1808
hsa-miR-224	6.18e-18	0.000792	positive	CDK9	1025
hsa-miR-27a	2.16e-15	0.000224	negative	NR2F6	2063
hsa-miR-27a	2.16e-15	0.000258	negative	LPCAT1	79888
hsa-miR-27a	2.16e-15	0.00149	negative	NEURL4	84461
hsa-miR-27a	2.16e-15	0.00233	negative	AQP11	282679
hsa-miR-27a	2.16e-15	2.55e-16	positive	ACTA2	59
hsa-miR-27a	2.16e-15	2.55e-08	positive	PDE3A	5139
hsa-miR-27a	2.16e-15	1.39e-07	positive	SPRY2	10253
hsa-miR-27a	2.16e-15	1.16e-06	positive	MAN2A1	4124
hsa-miR-27a	2.16e-15	1.78e-06	positive	USP31	57478
hsa-miR-27a	2.16e-15	3.54e-06	positive	FGD6	55785
hsa-miR-27a	2.16e-15	4.16e-05	positive	FAM184A	79632
hsa-miR-27a	2.16e-15	0.000359	positive	COL21A1	81578
hsa-miR-27a	2.16e-15	0.000953	positive	ITSN2	50618
hsa-miR-23b	4.32e-14	5.88e-10	negative	CPSF4	10898
hsa-miR-23b	4.32e-14	1.66e-05	negative	MYH4	4622
hsa-miR-23b	4.32e-14	4.05e-05	negative	MARCKSL1	65108
hsa-miR-23b	4.32e-14	8.64e-05	negative	ZNF579	163033
hsa-miR-23b	4.32e-14	0.000277	negative	LHX4	89884
hsa-miR-23b	4.32e-14	0.000296	negative	MYH2	4620
hsa-miR-23b	4.32e-14	0.000309	negative	RXRG	6258
hsa-miR-23b	4.32e-14	0.000317	negative	HOOK2	29911
hsa-miR-23b	4.32e-14	0.00173	negative	ZNF839	55778
hsa-miR-23b	4.32e-14	0.00414	negative	IPPK	64768
hsa-miR-23b	4.32e-14	3.16e-12	positive	FBN1	2200
hsa-miR-23b	4.32e-14	2.6e-11	positive	ZNF292	23036
hsa-miR-23b	4.32e-14	2.08e-10	positive	HOXD10	3236
hsa-miR-23b	4.32e-14	7.93e-10	positive	CCDC82	79780
hsa-miR-23b	4.32e-14	1.57e-09	positive	PTP4A2	8073
hsa-miR-23b	4.32e-14	3.14e-08	positive	PPP1CB	5500
hsa-miR-23b	4.32e-14	7.7e-08	positive	MYL12B	103910
hsa-miR-23b	4.32e-14	2.37e-07	positive	MIER1	57708
hsa-miR-23b	4.32e-14	1.77e-06	positive	GHITM	27069
hsa-miR-23b	4.32e-14	2.47e-06	positive	RBPMS2	348093
hsa-miR-23b	4.32e-14	1.1e-05	positive	SEMA6D	80031
hsa-miR-23b	4.32e-14	1.75e-05	positive	GPBP1	65056
hsa-miR-23b	4.32e-14	3.42e-05	positive	GGNBP2	79893
hsa-miR-23b	4.32e-14	4.38e-05	positive	ZMYM2	7750
hsa-miR-23b	4.32e-14	0.00103	positive	CFDP1	10428
hsa-miR-23b	4.32e-14	0.00584	positive	POGZ	23126
hsa-miR-452	5.54e-13	2.03e-06	negative	RAD23B	5887
hsa-miR-452	5.54e-13	0.00277	negative	GPR137	56834
hsa-miR-452	5.54e-13	4.81e-14	positive	MEIS1	4211
hsa-miR-452	5.54e-13	0.000348	positive	EMC8	10328
hsa-miR-455-5p	2.82e-12	0.000491	negative	STX1B	112755
hsa-miR-455-5p	2.82e-12	8.28e-13	positive	TSHZ3	57616
hsa-miR-455-5p	2.82e-12	2.26e-09	positive	PNRC1	10957
hsa-miR-455-5p	2.82e-12	1.4e-07	positive	ATP11C	286410
hsa-miR-455-5p	2.82e-12	8.44e-07	positive	DCAF5	8816
hsa-miR-455-5p	2.82e-12	5.24e-06	positive	BAZ2B	29994
hsa-miR-455-5p	2.82e-12	5.22e-05	positive	KDM3B	51780
hsa-miR-205	6.86e-12	8e-04	negative	INHBA	3624
hsa-miR-205	6.86e-12	5.97e-11	positive	LRP1	4035
hsa-miR-205	6.86e-12	6.06e-11	positive	SEMA4C	54910
hsa-miR-205	6.86e-12	1.46e-07	positive	RBPMS2	348093
hsa-miR-205	6.86e-12	3.2e-05	positive	ABI2	10152
hsa-miR-205	6.86e-12	3.81e-05	positive	XPR1	9213
hsa-miR-205	6.86e-12	0.00485	positive	B4GALT6	9331
hsa-miR-18a	1.1e-11	2.88e-14	negative	MYLK	4638
hsa-miR-18a	1.1e-11	8.45e-05	negative	ESR1	2099
hsa-miR-18a	1.1e-11	9.01e-05	negative	PDE4D	5144
hsa-miR-18a	1.1e-11	9.46e-05	negative	MAP7D1	55700
hsa-miR-18a	1.1e-11	0.000266	positive	FRS2	10818
hsa-miR-18a	1.1e-11	0.00301	positive	HIF1A	3091
hsa-miR-374a	1.37e-11	1.93e-06	negative	CYP26A1	1592
hsa-miR-374a	1.37e-11	2.44e-06	negative	TMEM108	66000
hsa-miR-374a	1.37e-11	3.24e-06	negative	PHRF1	57661
hsa-miR-374a	1.37e-11	6.73e-06	negative	CLDN14	23562
hsa-miR-374a	1.37e-11	2.49e-05	negative	AHDC1	27245
hsa-miR-374a	1.37e-11	0.000125	negative	GBX2	2637
hsa-miR-374a	1.37e-11	0.000164	negative	CRTC2	200186
hsa-miR-374a	1.37e-11	0.000261	negative	METRNL	284207
hsa-miR-374a	1.37e-11	0.000375	negative	CHRDL2	25884
hsa-miR-374a	1.37e-11	0.000675	negative	NUMBL	9253
hsa-miR-374a	1.37e-11	2.23e-12	positive	NFIB	4781
hsa-miR-374a	1.37e-11	2.06e-09	positive	DMXL1	1657
hsa-miR-374a	1.37e-11	1.97e-08	positive	ATP1A1	476
hsa-miR-374a	1.37e-11	2.72e-08	positive	HERC4	26091
hsa-miR-374a	1.37e-11	2.1e-07	positive	HIVEP2	3097
hsa-miR-374a	1.37e-11	9.5e-07	positive	TMED5	50999
