Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
122786	FRMD6	2.88e-32	2.85e-17	negative	hsa-miR-130b
122786	FRMD6	2.88e-32	3.22e-13	negative	hsa-miR-183
122786	FRMD6	2.88e-32	5.36e-06	negative	hsa-miR-345
122786	FRMD6	2.88e-32	1.01e-18	positive	hsa-miR-130a
122786	FRMD6	2.88e-32	0.00898	positive	hsa-miR-301a
59	ACTA2	5.1e-28	1.97e-29	positive	hsa-miR-27b
59	ACTA2	5.1e-28	2.55e-16	positive	hsa-miR-27a
90627	STARD13	6.92e-20	3.75e-14	negative	hsa-miR-130b
90627	STARD13	6.92e-20	1.87e-14	positive	hsa-miR-130a
143279	HECTD2	3.9e-18	3.9e-18	positive	hsa-miR-221
3236	HOXD10	9.28e-18	8.97e-20	positive	hsa-miR-224
3236	HOXD10	9.28e-18	2.08e-10	positive	hsa-miR-23b
3236	HOXD10	9.28e-18	7.98e-09	positive	hsa-miR-23a
3678	ITGA5	3.46e-17	2.37e-18	negative	hsa-miR-25
3678	ITGA5	3.46e-17	3.44e-07	negative	hsa-miR-92a
10161	LPAR6	3.33e-16	6.96e-15	positive	hsa-miR-27b
10161	LPAR6	3.33e-16	0.00622	positive	hsa-miR-155
83871	RAB34	3.57e-16	7.38e-06	negative	hsa-miR-148a
83871	RAB34	3.57e-16	1.95e-14	positive	hsa-miR-152
83871	RAB34	3.57e-16	6.23e-11	positive	hsa-miR-130a
26207	PITPNC1	2.94e-15	4.74e-12	negative	hsa-miR-25
26207	PITPNC1	2.94e-15	1.71e-10	negative	hsa-miR-92a
4638	MYLK	5.63e-15	2.88e-14	negative	hsa-miR-18a
4638	MYLK	5.63e-15	6.62e-07	negative	hsa-miR-18b
4638	MYLK	5.63e-15	1.34e-06	positive	hsa-miR-365
390	RND3	8.37e-15	8.37e-15	negative	hsa-miR-200c
60	ACTB	1.23e-14	1.23e-14	positive	hsa-miR-145
4781	NFIB	9.09e-14	4.19e-05	negative	hsa-miR-92b
4781	NFIB	9.09e-14	0.00113	negative	hsa-miR-512-3p
4781	NFIB	9.09e-14	8.85e-14	positive	hsa-miR-582-5p
4781	NFIB	9.09e-14	1.44e-12	positive	hsa-miR-374b
4781	NFIB	9.09e-14	2.23e-12	positive	hsa-miR-374a
4781	NFIB	9.09e-14	5.78e-08	positive	hsa-miR-590-5p
57575	PCDH10	1.21e-13	2.48e-06	negative	hsa-miR-19a
57575	PCDH10	1.21e-13	4.73e-05	negative	hsa-miR-19b
57575	PCDH10	1.21e-13	4.72e-16	positive	hsa-miR-139-5p
57575	PCDH10	1.21e-13	0.00831	positive	hsa-miR-30a
2771	GNAI2	1.49e-13	0.003	negative	hsa-miR-30b
2771	GNAI2	1.49e-13	6.4e-14	positive	hsa-miR-222
2771	GNAI2	1.49e-13	1.68e-11	positive	hsa-miR-221
2771	GNAI2	1.49e-13	0.000553	positive	hsa-miR-218
2771	GNAI2	1.49e-13	0.000825	positive	hsa-miR-30e
54510	PCDH18	1.56e-13	1.56e-13	negative	hsa-miR-182
23213	SULF1	1.65e-13	1.65e-13	positive	hsa-miR-199a-5p
9315	NREP	2.43e-13	5.39e-19	positive	hsa-miR-27b
9315	NREP	2.43e-13	6.31e-05	positive	hsa-miR-29b
23258	DENND5A	2.43e-13	9.73e-10	negative	hsa-miR-575
23258	DENND5A	2.43e-13	3.27e-06	negative	hsa-miR-200c
1845	DUSP3	2.78e-13	2.78e-13	negative	hsa-miR-141
5209	PFKFB3	2.88e-13	5.69e-05	negative	hsa-miR-130b
5209	PFKFB3	2.88e-13	2.7e-13	positive	hsa-miR-224
5209	PFKFB3	2.88e-13	9.48e-07	positive	hsa-miR-130a
51310	SLC22A17	5.47e-13	5.47e-13	negative	hsa-miR-15b
9839	ZEB2	6.35e-13	2.03e-13	negative	hsa-miR-141
9839	ZEB2	6.35e-13	2.74e-09	negative	hsa-miR-183
1272	CNTN1	6.86e-13	6.86e-13	negative	hsa-miR-548c-3p
114907	FBXO32	7.22e-13	7.22e-13	positive	hsa-miR-23a
5151	PDE8A	9.48e-13	0.00253	negative	hsa-miR-25
5151	PDE8A	9.48e-13	7.17e-15	positive	hsa-miR-224
1875	E2F5	2.4e-12	4.33e-09	negative	hsa-miR-1
1875	E2F5	2.4e-12	4.66e-14	positive	hsa-miR-106b
1875	E2F5	2.4e-12	1.67e-08	positive	hsa-miR-17
1875	E2F5	2.4e-12	2.02e-08	positive	hsa-miR-20a
1875	E2F5	2.4e-12	7.24e-07	positive	hsa-miR-106a
10659	CELF2	2.84e-12	2.84e-12	negative	hsa-miR-96
84529	C15orf41	8.08e-12	8.08e-12	negative	hsa-miR-548c-3p
9891	NUAK1	8.11e-12	8.11e-12	negative	hsa-miR-182
5358	PLS3	1.11e-11	1.11e-11	negative	hsa-miR-200c
65010	SLC26A6	1.63e-11	7.63e-10	negative	hsa-miR-125a-5p
65010	SLC26A6	1.63e-11	5.07e-08	negative	hsa-miR-125b
92558	CCDC64	2.34e-11	2.34e-11	negative	hsa-miR-221
134829	CLVS2	2.42e-11	2.42e-11	positive	hsa-miR-222
54910	SEMA4C	4.63e-11	6.06e-11	positive	hsa-miR-205
54910	SEMA4C	4.63e-11	9.93e-08	positive	hsa-miR-181c
55554	KLK15	5.38e-11	5.38e-11	negative	hsa-miR-224
4035	LRP1	6.03e-11	5.97e-11	positive	hsa-miR-205
57509	MTUS1	9.01e-11	9.01e-11	positive	hsa-miR-338-3p
905	CCNT2	1.01e-10	1.84e-11	positive	hsa-miR-16
905	CCNT2	1.01e-10	4.51e-09	positive	hsa-miR-195
905	CCNT2	1.01e-10	4.15e-07	positive	hsa-miR-204
